Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
3-[(4-hydroxyphenyl)methylideneamino]phenol,c1cc(O)ccc1C=Nc2cc(O)ccc2,"InChI=1S/C13H11NO2/c15-12-6-4-10(5-7-12)9-14-11-2-1-3-13(16)8-11/h1-9,15-16H",nitromethane,basic,pK1,pKaH1,18.25,9.85,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
3-[(4-methoxyphenyl)methylideneamino]phenol,c1cc(OC)ccc1C=Nc2cc(O)ccc2,"InChI=1S/C14H13NO2/c1-17-14-7-5-11(6-8-14)10-15-12-3-2-4-13(16)9-12/h2-10,16H,1H3",nitromethane,basic,pK1,pKaH1,18.15,9.75,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
3-[[4-(dimethylamino)phenyl]methylideneamino]phenol,c1cc(N(C)(C))ccc1C=Nc2cc(O)ccc2,"InChI=1S/C15H16N2O/c1-17(2)14-8-6-12(7-9-14)11-16-13-4-3-5-15(18)10-13/h3-11,18H,1-2H3",nitromethane,basic,pK1,pKaH1,22.32,11.22,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group B: pKa(1,3-diphenylguanidine)=14.5. ",B
"4,4'-Diaminodiphenylether",Nc1ccc(Oc2ccc(N)cc2)cc1,"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",nitromethane,basic,pK1,pKaH1,18.37,9.97,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Diaminodiphenylether",Nc1ccc(Oc2ccc(N)cc2)cc1,"InChI=1S/C12H12N2O/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",nitromethane,basic,pK2,pKaH2,17.04,8.64,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Diaminodiphenylmethane",Nc1ccc(Cc2ccc(N)cc2)cc1,"InChI=1S/C13H14N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8H,9,14-15H2",nitromethane,basic,pK1,pKaH1,18.27,9.87,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Diaminodiphenylmethane",Nc1ccc(Cc2ccc(N)cc2)cc1,"InChI=1S/C13H14N2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8H,9,14-15H2",nitromethane,basic,pK2,pKaH2,17.62,9.22,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Stilbenediamine",Nc1ccc(C=Cc2ccc(N)cc2)cc1,"InChI=1S/C14H14N2/c15-13-7-3-11(4-8-13)1-2-12-5-9-14(16)10-6-12/h1-10H,15-16H2",nitromethane,basic,pK1,pKaH1,17.83,9.43,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Stilbenediamine",Nc1ccc(C=Cc2ccc(N)cc2)cc1,"InChI=1S/C14H14N2/c15-13-7-3-11(4-8-13)1-2-12-5-9-14(16)10-6-12/h1-10H,15-16H2",nitromethane,basic,pK2,pKaH2,16.69,8.29,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Sulfonyldianiline",Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2",nitromethane,basic,pK1,pKaH1,14.75,6.35,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Sulfonyldianiline",Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2",nitromethane,basic,pK2,pKaH2,13.45,5.05,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Thiodianiline",Nc1ccc(Sc2ccc(N)cc2)cc1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",nitromethane,basic,pK1,pKaH1,17.42,9.02,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,4'-Thiodianiline",Nc1ccc(Sc2ccc(N)cc2)cc1,"InChI=1S/C12H12N2S/c13-9-1-5-11(6-2-9)15-12-7-3-10(14)4-8-12/h1-8H,13-14H2",nitromethane,basic,pK2,pKaH2,15.64,7.24,,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev, Z.V. Gerashchenko and Ya.S. Yygodskii, Reakts. Sposobnost' Organ. Soedin., 8., 681 (1971).  B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ","71K,73K","Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-(trifluoromethyl)-1,3,5-triazine",Nc1nc(N)nc(C(F)(F)F)n1,"InChI=1S/C4H4F3N5/c5-4(6,7)1-10-2(8)12-3(9)11-1/h(H4,8,9,10,11,12)",nitromethane,basic,pK1,pKaH1,14.56,6.16,0.2,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-bromo-1,3,5-triazine",Nc1nc(N)nc(Br)n1,"InChI=1S/C3H4BrN5/c4-1-7-2(5)9-3(6)8-1/h(H4,5,6,7,8,9)",nitromethane,basic,pK1,pKaH1,15.58,7.18,,25,0.3,Potentiometric (glass electrode),P(G),,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-chloro-1,3,5-triazine",Nc1nc(N)nc(Cl)n1,"InChI=1S/C3H4ClN5/c4-1-7-2(5)9-3(6)8-1/h(H4,5,6,7,8,9)",nitromethane,basic,pK1,pKaH1,15.3,6.9,0.2,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-cyano-1,3,5-triazine",N#Cc1nc(N)nc(N)n1,"InChI=1S/C4H4N6/c5-1-2-8-3(6)10-4(7)9-2/h(H4,6,7,8,9,10)",nitromethane,basic,pK1,pKaH1,13.54,5.14,0.2,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-diethylamino-1,3,5-triazine",CCN(CC)c1nc(N)nc(N)n1,"InChI=1S/C7H14N6/c1-3-13(4-2)7-11-5(8)10-6(9)12-7/h3-4H2,1-2H3,(H4,8,9,10,11,12)",nitromethane,basic,pK1,pKaH1,21.82,13.42,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-difluoromethyl-1,3,5-triazine",Nc1nc(N)nc(C(F)F)n1,"InChI=1S/C4H5F2N5/c5-1(6)2-9-3(7)11-4(8)10-2/h1H,(H4,7,8,9,10,11)",nitromethane,basic,pK1,pKaH1,15.95,7.55,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-dimethylamino-1,3,5-triazine",CN(C)c1nc(N)nc(N)n1,"InChI=1S/C5H10N6/c1-11(2)5-9-3(6)8-4(7)10-5/h1-2H3,(H4,6,7,8,9,10)",nitromethane,basic,pK1,pKaH1,21.66,13.26,0.1,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-ethoxy-1,3,5-triazine",CCOc1nc(N)nc(N)n1,"InChI=1S/C5H9N5O/c1-2-11-5-9-3(6)8-4(7)10-5/h2H2,1H3,(H4,6,7,8,9,10)",nitromethane,basic,pK1,pKaH1,19.23,10.83,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-methoxy-1,3,5-triazine",COc1nc(N)nc(N)n1,"InChI=1S/C4H7N5O/c1-10-4-8-2(5)7-3(6)9-4/h1H3,(H4,5,6,7,8,9)",nitromethane,basic,pK1,pKaH1,18.93,10.53,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-methyl-1,3,5-triazine",Cc1nc(N)nc(N)n1,"InChI=1S/C4H7N5/c1-2-7-3(5)9-4(6)8-2/h1H3,(H4,5,6,7,8,9)",nitromethane,basic,pK1,pKaH1,20.65,12.25,0.1,25,3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-phenoxy-1,3,5-triazine",Nc1nc(N)nc(Oc2ccccc2)n1,"InChI=1S/C9H9N5O/c10-7-12-8(11)14-9(13-7)15-6-4-2-1-3-5-6/h1-5H,(H4,10,11,12,13,14)",nitromethane,basic,pK1,pKaH1,18.05,9.65,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
"4,6-Diamino-2-phenyl-1,3,5-triazine",Nc1nc(N)nc(-c2ccccc2)n1,"InChI=1S/C9H9N5/c10-8-12-7(13-9(11)14-8)6-4-2-1-3-5-6/h1-5H,(H4,10,11,12,13,14)",nitromethane,basic,pK1,pKaH1,19.16,10.76,0.15,25,0.3,Potentiometric (glass electrode),P(G),~1E-3M,,,,"pKa was obtained from the potential at half-neutralization of the base with HClO4. 1,3-Diphenylguanidine(DPhG, pKa = 17.2) served as reference. The linear response of the glass electrode, confirmed in 4 x 10-4 - 4 x 10-5 M HClO4, ,gave pKa(DPhG)=17.2 within the accuracy of ± 0.5.",*1,,"B.A. Korolev and M.A. Mal'tseva, Zh. Obshch. Khim.,  1556 (1973); J. Gen. Chem. USSR, 43, 1540 (1973). ",73K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-(benzylideneamino)phenol,c1ccccc1C=Nc2ccc(O)cc2,"InChI=1S/C13H11NO/c15-13-8-6-12(7-9-13)14-10-11-4-2-1-3-5-11/h1-10,15H",nitromethane,basic,pK1,pKaH1,19.37,10.97,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-(phenyliminomethyl)phenol,c1cc(O)ccc1C=Nc2ccccc2,"InChI=1S/C13H11NO/c15-13-8-6-11(7-9-13)10-14-12-4-2-1-3-5-12/h1-10,15H",nitromethane,basic,pK1,pKaH1,18.44,10.04,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-[(3-chlorophenyl)methylideneamino]phenol,c1c(Cl)cccc1C=Nc2ccc(O)cc2,"InChI=1S/C13H10ClNO/c14-11-3-1-2-10(8-11)9-15-12-4-6-13(16)7-5-12/h1-9,16H",nitromethane,basic,pK1,pKaH1,18.2,9.8,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-[(3-nitrophenyl)methylideneamino]phenol,c1c([N+](=O)[O-])cccc1C=Nc2ccc(O)cc2,"InChI=1S/C13H10N2O3/c16-13-6-4-11(5-7-13)14-9-10-2-1-3-12(8-10)15(17)18/h1-9,16H",nitromethane,basic,pK1,pKaH1,17.54,9.14,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-[(4-chlorophenyl)methylideneamino]phenol,c1cc(Cl)ccc1C=Nc2ccc(O)cc2,"InChI=1S/C13H10ClNO/c14-11-3-1-10(2-4-11)9-15-12-5-7-13(16)8-6-12/h1-9,16H",nitromethane,basic,pK1,pKaH1,18.65,10.25,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-[(4-hydroxyphenyl)iminomethyl]phenol,c1cc(O)ccc1C=Nc2ccc(O)cc2,"InChI=1S/C13H11NO2/c15-12-5-1-10(2-6-12)9-14-11-3-7-13(16)8-4-11/h1-9,15-16H",nitromethane,basic,pK1,pKaH1,20.03,11.63,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
4-[(4-methoxyphenyl)iminomethyl]phenol,c1cc(O)ccc1C=Nc2ccc(OC)cc2,"InChI=1S/C14H13NO2/c1-17-14-8-4-12(5-9-14)15-10-11-2-6-13(16)7-3-11/h2-10,16H,1H3",nitromethane,basic,pK1,pKaH1,19.84,11.44,,,,Not labeled,,,,,,Table: pKa for the conjugate acids of substituted benzylideneanilines(B) [RC6H4CH=NC6H4X] (Ref. 69K); referred to pKa(DPhG)=17.2 [group A].,*3,From tables of extra information; molecular graph built from provided structural information rather than IUPAC naming.,"B.A. Korolev, N.A. Rozanel'skaya and B.I. Stepanov, Zh. Obshch. Khim., 39, 1161 (1969); J. Gen. Chem. USSR, 39, 1128 (1969).",69K,"Group A: pKa(1,3-diphenylguanidine)=17.2. ",A
