Name,SMILES,InChI,Solvent,Proton Transfer Type,pKa Type,pKa Type (Standardized),pKa Value (Corrected),pKa Value,pKa Value Uncertainty,Temperature,Temperature Uncertainty,Method,Method (code),Ionic Strength,Water Content,Homoconjugation and Other Reactions,Indicator type,Remarks,Remarks (code),Additional info,Reference,Reference (code),Standard,Standard (code)
Dichloroacetic acid,O=C(O)C(Cl)Cl,"InChI=1S/C2H2Cl2O2/c3-1(4)2(5)6/h1H,(H,5,6)",NMP,acidic,pK1,pKa1,(6.2),(6.2),,,,Potentiometric,P,,,,,Values reported in other literatures.,*9,,"J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ",73M,,
Diethylamine,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",NMP,basic,pK1,pKaH1,9.2,9.2,,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Diethylamine,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",NMP,basic,pK1,pKaH1,9.2,9.2,,,,Potentiometric (glass electrode),P(G),0.1M,<250mM,,,,,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972). J.L. Mouton and C. Sinicki, J. Electroanal. Chem., 48, 285 (1973). ","72D,73M",,
Diethylamine,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",NMP,basic,pK1,pKaH1,9.4,9.4,,,,Potentiometric (hydrogen electrode),P(H),,,,,,,,"M. Mermet-Dupin, J. Electroanal. Chem., 52, 75 (1974). ",74M,,
Diethylamine,CCNCC,"InChI=1S/C4H11N/c1-3-5-4-2/h5H,3-4H2,1-2H3",NMP,basic,pK1,pKaH1,10,10,,,,Spectrophometric,S,,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Diphenylamine,c1ccc(Nc2ccccc2)cc1,"InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H",NMP,acidic,pK1,pKa1,25.9,25.9,,25,1,Spectrophometric,S,,a,,,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33).",*7,,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). ",80B,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33,  [pKa(benzoic acid)=13.3)",A
Ethanesulfonic acid,CCS(=O)(=O)O,"InChI=1S/C2H6O3S/c1-2-6(3,4)5/h2H2,1H3,(H,3,4,5)",NMP,acidic,pK1,pKa1,5,2,,,,Spectrophometric,S,~1E-2M,,,,pKa's were obtained by the overlapping indicator method starting from HClO4 (completely dissociated). ,*6,,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Ethylamine,CCN,"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3",NMP,basic,pK1,pKaH1,10.2,10.2,,,,Potentiometric (hydrogen electrode),P(H),,,,,,,,"M. Mermet-Dupin, J. Electroanal. Chem., 52, 75 (1974). ",74M,,
"Fluorenone 2,4-dichlorophenylhydrazone",Clc1ccc(NN=C2C=CC=C3C2=Cc2ccccc23)c(Cl)c1,"InChI=1S/C19H12Cl2N2/c20-13-8-9-19(17(21)11-13)23-22-18-7-3-6-15-14-5-2-1-4-12(14)10-16(15)18/h1-11,23H",NMP,"acidic,indicator",pK1,pKa1,12.7,12.7,,25,1,Spectrophometric,S,,a,,,"pKa's were obtained by the overlapping indicator method starting from 4-chloro-2,6-dinitrophenol(pKa = 4.22) and 4,6-dinitro-2-methylphenol(pKa = 5.33).",*7,,"F.G. Bordwell, J. C. Branca, D.L. Hughes and W.N. Olmstead, J. Org. Chem., 45, 3305 (1980). ",80B,"Group A: pKa(4-chloro-2,6-dinitrophenol)=4.22, pKa(4,6-dinitro-2-methylphenol)=5.33,  [pKa(benzoic acid)=13.3)",A
Formic acid,O=CO,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",NMP,acidic,pK1,pKa1,12,12,0.2,25,1,Potentiometric (glass electrode),P(G),DHE,<100mM,,,"The glass electrode was calibrated in solutions of p-tolulenesulfonic acid (completely dissociated). pKa was obtained from paH in HA-Et4NA or in B-BHSO3CH3(1:1) mixture. The HA-Et4NA solution contained 4% benzene and 0.5% MeOH,which were brought in by the titrant Et4NOH(in 9:1 benzene-MeOH). ",*2,,"A.P. Kreshkov, Ya.A. Gurvich, G.M. Gal'pern and N.F. Kryuchkova, Zh. Anal. Khim., 27, 1166 (1972); J. Anal. Chem. USSR, 27, 1043 (1972). ",72K,"Group B: Complete dissociation of p-toluenesulfonic acid, pKa(benzoic acid)=12.3",B
Formic acid,O=CO,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",NMP,acidic,pK1,pKa1,13,10,,,,Voltammetric,V(H),0.1M,<250mM,,,pKa was obtained from the voltammetric half-wave potential of the acid at a platinized Pt hydrogen electrode.,*4,,"M. Dupin and J.P. Terrat, J. Electroanal. Chem., 35, 261 (1972).",72D,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Fumaric acid,O=C(O)/C=C/C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",NMP,acidic,pK1,pKa1,13.4,10.1,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,,,,"The indicator electrode was calibrated in solutions of strong acids (HClO4, HI,CH3SO3H) Values reported in other literatures.","*3,9",,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
Fumaric acid,O=C(O)/C=C/C(=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)",NMP,acidic,pK2,pKa2,14.6,11.3,,,,Potentiometric (hydrogen electrode),P(H)(G),0.1M,,,,"The indicator electrode was calibrated in solutions of strong acids (HClO4, HI,CH3SO3H) Values reported in other literatures.","*3,9",,"M. Breant, A. Auroux and M. Lavergne, Anal. Chim. Acta,  83, 49 (1976). ",76B,"Group C: Complete dissociation of HClO4, [pKa(benzoic acid)=10.0)",C
